id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
1,1,1,3,4,1,2,2,1,100,100,100,100,51,62,20,100,,,5,5,5,5,5,5,5,5,2,2,,8,8,2,8,8,1,8,8,3,8,8,8,8,8,4,8,8,8,8,8,8,4,4,4,3,4,4,4,5,5,7,1,1,2,1,2,5,7,5,4,5,1,7,1,1,1,4,6,6,1,1,1,4,2,4,2,4,1,1,1,6,2,4,4,2,2,2,5,1960,1
2,2,4,5,4,2,2,2,1,39,6,74,6,65,53,22,91,1,1,1,3,3,2,2,3,3,1,4,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,1,4,8,8,3,5,3,2,3,4,4,5,4,5,6,1,5,3,1,1,2,2,9,3,3,1,6,1,2,2,2,3,5,2,3,4,4,4,4,4,4,1,2,1,5,2,3,2,2,2,1,5,1957,2
3,1,1,1,1,1,1,1,2,1,50,50,50,85,2,5,61,,,3,3,5,5,3,4,4,1,5,5,,8,8,8,8,1,4,2,8,8,8,3,8,8,8,8,8,8,8,8,8,8,5,5,2,5,5,2,4,2,3,2,6,2,6,4,6,5,5,1,9,1,1,2,4,6,6,1,7,7,2,2,7,4,3,3,2,2,1,3,3,2,1,1,1,1,1,2,2,1963,1
4,1,5,4,5,2,2,2,1,89,61,64,61,56,60,61,96,1,11,4,4,5,5,4,4,4,4,2,3,1,8,8,1,8,8,8,8,8,4,8,2,8,8,8,8,8,8,8,8,3,8,3,4,5,3,4,5,4,5,5,6,1,1,2,2,1,4,7,5,9,5,1,4,1,1,1,2,5,6,1,1,1,5,2,4,3,4,1,1,1,6,2,4,4,1,1,2,5,1980,1
5,1,2,1,3,1,2,1,2,1,61,58,71,89,31,22,40,5,4,3,3,3,3,2,3,3,1,4,4,4,8,4,8,8,8,2,8,8,8,8,8,8,1,8,8,3,8,8,8,8,8,3,4,1,5,5,1,5,1,4,1,7,1,1,1,7,4,1,9,1,4,2,7,4,7,7,3,1,1,2,2,7,4,3,3,3,3,1,1,1,6,2,1,5,2,1,2,5,1974,1
6,1,3,3,2,2,1,1,2,0,50,51,51,55,0,11,71,2,7,4,5,5,5,4,5,5,1,4,5,3,8,8,8,8,8,8,4,8,8,2,1,8,3,8,8,8,8,8,8,8,8,4,4,4,4,5,5,3,2,5,1,4,2,2,7,5,7,4,2,2,5,1,7,4,7,6,1,7,7,2,2,7,1,3,3,5,5,1,2,7,3,1,4,5,1,2,2,4,1958,1
7,1,1,1,1,2,2,1,1,73,100,70,100,34,100,100,100,,,5,4,5,5,5,3,5,5,2,2,,8,8,8,8,8,8,8,2,8,8,8,8,8,1,3,8,4,8,8,8,8,1,2,5,2,3,5,1,5,5,7,1,1,1,1,1,2,7,4,9,5,1,5,1,1,1,2,7,6,1,1,1,6,2,5,2,5,1,1,2,6,2,5,5,1,1,2,5,1978,1
8,1,5,4,5,2,1,2,1,0,70,70,69,85,45,40,76,,,3,3,3,3,5,5,4,4,3,3,,8,8,8,8,3,1,2,8,8,8,8,4,8,8,8,8,8,8,8,8,8,3,3,4,4,4,4,4,4,4,3,4,2,4,1,7,4,1,3,9,3,1,3,2,4,5,3,4,5,1,2,6,6,2,3,3,3,1,1,1,6,2,2,3,2,2,3,4,1951,1
9,1,3,3,4,2,2,1,2,12,50,50,50,80,21,12,50,5,4,5,5,5,5,2,4,3,2,4,4,3,8,2,8,8,8,3,8,8,8,8,8,8,4,8,8,8,8,8,8,8,1,4,4,4,4,4,4,4,3,5,1,1,2,3,4,5,4,1,3,3,4,2,2,4,7,7,3,6,6,2,2,7,4,3,3,3,3,1,1,4,4,2,2,3,1,1,3,5,1973,1
10,1,1,1,1,1,1,1,1,87,75,90,51,60,61,72,91,,,3,3,5,5,3,3,3,3,2,2,,8,8,1,8,8,4,8,8,2,8,8,8,8,8,8,8,8,8,3,8,8,2,3,4,2,3,4,2,3,4,6,1,1,3,1,1,3,5,4,9,4,1,7,1,2,2,2,5,5,1,3,1,6,2,2,2,2,1,1,1,6,2,2,2,1,1,2,4,1936,1
